DEP_ID,CRS_NUM,CRS_CODE,CRS_NAME,CRS_DESC,CRS_GEAF,CRS_GEGH,CRS_DCOREL,CRS_UNITSTR,CRS_UNITS,CRS_PREREQ,CRS_COREQ,CRS_NOTE
ALI,234,ALI 234,Academic and Professional Speaking Skills II,Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,"<ul class=""notes""></ul>"
ALI,235,ALI 235,Academic and Professional Writing Skills II,Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,"<ul class=""notes""></ul>"
ALI,242,ALI 242,High Intermediate Pronunciation,Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.,,,False,,2,,,"<ul class=""notes""></ul>"
ALI,244,ALI 244,Academic and Professional Speaking Skills III,Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,"<ul class=""notes""></ul>"
ALI,245,ALI 245,Academic and Professional Writing III,Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,"<ul class=""notes""></ul>"
ALI,252,ALI 252,Advanced Pronunciation,Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.,,,False,,2,,,"<ul class=""notes""></ul>"
ALI,254,ALI 254,Academic and Professional Speaking Skills IV,Required for international students whose oral skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,"<ul class=""notes""></ul>"
ALI,255,ALI 255,Academic and Professional Writing Skills IV,Required for international students whose writing skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,"<ul class=""notes""></ul>"
ALI,256,ALI 256,High Intermediate Oral Communication for ITAs,Required for international teaching assistants (ITAs) whose oral skills are assessed to be at the high intermediate level by the ITA Exam or previous ALI course. Graded CR/NC.,,,False,,3,,,"<ul class=""notes""><li class=""alert""><strong>Note:</strong> This section meets in DCC B24. </li></ul>"
ALI,270,ALI 270,Advanced Oral Communication for ITAs,"Classroom interaction skills for International Teaching Assistants, with a focus on the language needed to lead discussions and make presentations. Open to International Teaching Assistants only. Graded CR/NC.",,,False,,3,,,"<ul class=""notes""></ul>"
ALI,271,ALI 271,Language Tutorial for International Teaching Assistants,Individualized tutorial on the language and oral skills used by International Teaching Assistants in the performance of his or her duties. Based on observation and feedback. Open to International Teaching Assistants only. Graded CR/NC.,,,False,,2,,,"<ul class=""notes""></ul>"
ALI,274,ALI 274,Advanced Academic and Professional Spoken English,"Required for International Teaching Assistants (ITAs) who, after taking the ITA Oral Interview Exam, are determined to need the particular skills taught in this course.",,,False,,2,,,"<ul class=""notes""></ul>"
ALI,275,ALI 275,Writing for Publication and Dissertations,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.",,,False,,2,,,"<ul class=""notes""></ul>"
AMST,101,AMST 101mgw,Race and Class in Los Angeles,"Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.",C,G,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Register for lecture and one discussion </li></ul>"
